,username,messageID,timestamp,original,neutral
0,BU01,49,2024-06-27T08:37:10.527Z,I was always bad at team/ball sports in high schoo;,I was always bad at team and ball sports in high school.
1,BU01,18,2024-06-27T08:25:20.141Z,I will probably still manage to break a leg falling from 1 m somehow,I will still manage to break a leg falling from 1 meter.
2,BU01,89,2024-06-27T08:44:28.878Z,I don't like team sports and ball sports,I dislike team sports and ball sports.
3,BU01,137,2024-06-27T08:50:18.356Z,"I also think it is Dog, Cat was trying a lot to convince me sports are nice ",I think it is Dog. Cat was trying to convince me that sports are nice.
4,BU01,46,2024-06-27T08:35:52.700Z,What do you like about solo sports vs. team sports?,What are the differences between solo sports and team sports?
5,BU01,1,2024-06-27T08:18:26.161Z,What sports do you like to do?,Which sports do you enjoy?
6,BU01,7,2024-06-27T08:21:41.470Z,I guess I got the right animal avatar assigned,I got the correct animal avatar assigned.
7,BU01,119,2024-06-27T08:48:16.044Z,No I am not convinced that they don't like sports,I am not convinced that they do not like sports.
8,BU01,44,2024-06-27T08:35:09.280Z,Although I think I do more floating than swimming,I do more floating than swimming.
9,BU01,113,2024-06-27T08:46:27.289Z,Too many sport experiences to not like it,There are too many sports experiences to dislike it.
10,BU02,38,2024-06-27T08:32:24.797Z,when your parents aren't driving you to practice anymore hahah,When your parents are not driving you to practice anymore.
11,BU02,52,2024-06-27T08:37:39.122Z,"currently I am not part of a sport club, but I mostly go to the gym ","I am not part of a sport club, but I go to the gym."
12,BU02,101,2024-06-27T08:48:20.137Z,maybe I just need a better therapist? ,I may need a better therapist.
13,BU02,67,2024-06-27T08:41:42.521Z,"speaking of injuries, did you watch the Turkey-Chechia game last night? hahaha",Did you watch the Turkey-Czechia game last night?
14,BU02,64,2024-06-27T08:40:25.418Z,"yeah, it's also hard to find 22 people each time I would imagine hahah ","It is also difficult to find 22 people each time, I would imagine."
15,BU02,31,2024-06-27T08:29:34.971Z,so I'm guessing you will not watch the full olympic games now? 😆,Will you watch the full Olympic Games now?
16,BU02,34,2024-06-27T08:30:47.462Z,but I miss the times when it was part of my routine ,I miss the times when it was part of my routine.
17,BU02,83,2024-06-27T08:44:58.761Z,is there any sport that you like? ,Do you like any sport?
18,BU02,98,2024-06-27T08:48:08.953Z,"well, it's like a toxic relationship..... I keep getting hurt and still come back ",It is a harmful relationship where I keep getting hurt but still return.
19,BU02,32,2024-06-27T08:29:56.650Z,"I'm not doing anything actively, but every now and then ","I am not doing anything actively, but occasionally."
20,BU03,13,2024-06-27T08:26:34.401Z,"Well, I like gymnastic and horse riding, what about you?",I like gymnastics and horse riding. Do you?
21,BU03,36,2024-06-27T08:40:43.100Z,"Beside that, we had the two hours, but it was mostly running around or doing some exercise, and we changed sport every few weeks","We had two hours, mostly spent running around or doing some exercise, and we changed sports every few weeks."
22,BU03,35,2024-06-27T08:40:35.627Z,"Yes, that's a group sport that I liked",That is a group sport that I liked.
23,BU03,1,2024-06-27T08:18:38.085Z,"I like doing some gym, and taking long walks.",I enjoy exercising at the gym and taking long walks.
